Price,A,ABBV,ABT,ACN,ADBE,AES,AFL,AMD,AOS,MMM
2019-06-20,70.39973449707031,61.37420272827149,77.2476577758789,172.56605529785156,302.1099853515625,14.221149444580078,48.71128463745117,30.01000022888184,41.44813919067383,117.3541259765625
2019-06-21,70.41896057128906,61.71892547607422,77.30220031738281,171.6778564453125,299.3299865722656,14.078351974487305,48.36798477172852,29.100000381469727,41.58382797241211,116.95604705810548
2019-06-24,70.22691345214844,61.46036911010742,77.0384750366211,172.18673706054688,299.8699951171875,13.969151496887209,48.42960357666016,29.26000022888184,41.49337005615234,116.97628021240234
2019-06-25,69.62201690673828,51.47160339355469,76.61105346679688,171.0672607421875,287.9700012207031,13.98595142364502,48.36798477172852,28.86000061035156,41.69238662719727,116.0654754638672
2019-06-26,69.26673889160156,53.27349090576172,75.44696807861328,169.59617614746094,288.7200012207031,13.70875358581543,47.74302291870117,29.920000076293945,41.77379608154297,115.96424865722656
2019-06-27,70.2749252319336,54.84035873413086,76.1108627319336,169.30938720703125,293.2300109863281,13.89355182647705,48.01589584350586,30.739999771118164,41.68333053588867,115.70790100097656
2019-06-28,71.69596099853516,56.971309661865234,76.48373413085938,170.947021484375,294.6499938964844,14.078351974487305,48.24475860595703,30.3700008392334,42.660282135009766,116.94929504394533
2019-07-01,72.92193603515625,57.504051208496094,76.8384017944336,172.88983154296875,300.9700012207031,14.086751937866213,49.13377380371094,31.200000762939453,42.452247619628906,117.7386703491211
2019-07-02,72.75835418701172,58.1542854309082,77.25674438476562,174.4904022216797,301.3900146484375,14.237951278686523,49.4770622253418,31.239999771118164,42.50651168823242,117.40811920166016
2019-07-03,73.90345001220703,58.726192474365234,77.8842544555664,176.68310546875,305.70001220703125,14.515151023864746,50.04041290283203,31.190000534057617,42.32558822631836,118.05579376220705
2019-07-05,72.89307403564453,57.18284225463867,77.68417358398438,177.0717010498047,303.9800109863281,14.380748748779297,50.00518798828125,31.5,42.52460861206055,116.04524230957033
2019-07-08,71.05509185791016,55.7961540222168,77.3840560913086,176.072509765625,302.9200134277344,14.405945777893066,49.86435317993164,32.040000915527344,40.89634323120117,114.14936065673828
2019-07-09,70.67980194091797,55.81182861328125,77.5477523803711,176.79417419433594,304.20001220703125,14.330345153808594,49.758731842041016,33.150001525878906,40.76065826416016,111.79476165771484
2019-07-10,70.60282135009766,56.13303756713867,77.64779663085938,177.3677520751953,306.9800109863281,14.271547317504885,49.74112319946289,33.790000915527344,40.49832534790039,111.79476165771484
2019-07-11,69.03429412841797,55.81182861328125,78.00247955322266,180.10635375976562,307.6000061035156,14.246349334716797,49.60909271240234,33.060001373291016,40.09125900268555,114.04818725585938
2019-07-12,68.94770812988281,55.89931488037109,76.60582733154297,181.53109741210935,309.4200134277344,14.347149848937988,50.07561111450195,33.209999084472656,40.87825012207031,116.94929504394533
2019-07-15,67.88919067382812,55.8913459777832,76.50541687011719,180.7077178955078,308.760009765625,14.405945777893066,49.79394912719727,34.38999938964844,40.34454345703125,116.6119613647461
2019-07-16,67.31181335449219,55.00848388671875,75.91207122802734,179.71775817871094,305.70001220703125,14.52354907989502,49.3890380859375,33.849998474121094,40.887298583984375,119.07455444335938
2019-07-17,66.96538543701172,54.34037780761719,78.28545379638672,179.3106689453125,309.3900146484375,14.825946807861328,48.97533798217773,33.599998474121094,40.2088623046875,117.84664916992188
2019-07-18,67.4850082397461,54.28469467163086,80.11116027832031,180.2451019287109,310.0799865722656,14.725146293640137,49.406646728515625,33.0,39.79275894165039,116.7603530883789
2019-07-19,66.10895538330078,54.515357971191406,79.86467742919922,179.4217071533203,306.8699951171875,14.46474838256836,48.41200256347656,32.5099983215332,39.42187881469727,116.45677185058594
2019-07-22,66.48423767089844,54.08583831787109,80.39412689208984,179.8935546875,308.54998779296875,14.330345153808594,48.46481704711914,32.849998474121094,39.26809310913086,117.82638549804688
2019-07-23,67.25405883789062,53.87109375,81.00574493408203,179.9120635986328,307.8800048828125,14.1371488571167,48.57923889160156,33.4900016784668,40.40786743164063,119.7694854736328
2019-07-24,66.95577239990234,53.65633773803711,80.86881256103516,179.9213104248047,310.2699890136719,14.17075252532959,47.46135711669922,34.11000061035156,40.83302307128906,121.05139923095705
2019-07-25,67.21558380126953,53.02004623413086,80.33023071289062,180.38389587402344,308.7300109863281,14.204352378845217,47.32933044433594,33.66999816894531,40.77875900268555,120.18101501464844
2019-07-26,66.87879180908203,53.89496612548828,80.10204315185547,182.1971740722656,311.2699890136719,14.229546546936035,47.43495559692383,34.02000045776367,40.59782791137695,117.3810806274414
2019-07-29,67.7159652709961,53.43363571166992,80.83230590820312,182.5858459472656,307.2200012207031,14.330345153808594,46.616355895996094,33.47999954223633,39.63896560668945,119.25670623779295
2019-07-30,67.50425720214844,53.43363571166992,80.61321258544922,181.01300048828125,303.6400146484375,14.405945777893066,46.54594039916992,33.869998931884766,41.17543411254883,119.84366607666016
2019-07-31,66.79219055175781,52.98821640014648,79.50867462158203,178.17269897460938,298.8599853515625,14.217120170593262,46.33468627929688,30.450000762939453,41.32090377807617,117.88037109375
2019-08-01,66.5997085571289,52.33600997924805,78.57757568359375,179.63449096679688,298.44000244140625,14.648967742919922,46.044219970703125,29.86000061035156,39.720802307128906,116.96279907226562
2019-08-02,65.51234436035156,51.97809219360352,78.3402328491211,178.57054138183594,293.7099914550781,14.25098991394043,46.23785781860352,29.440000534057617,39.7662467956543,115.0669403076172
