Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-06-10 00:00:00-04:00,11.11017664785684,11.147806336790337,11.016101976941815,11.07254695892334,2692800,0.0,0.0
2019-06-11 00:00:00-04:00,11.147806378602686,11.166620774558726,11.063139353894112,11.10076904296875,2049200,0.0,0.0
2019-06-12 00:00:00-04:00,11.072548772747561,11.147808162943004,11.006696133454525,11.044325828552246,1673200,0.0,0.0
2019-06-13 00:00:00-04:00,11.063140906709467,11.128992647542352,10.9972882687139,11.091362953186035,2643400,0.0,0.0
2019-06-14 00:00:00-04:00,11.072547990610316,11.157214125727558,11.072547990610316,11.128992080688477,3202500,0.0,0.0
2019-06-17 00:00:00-04:00,11.147807784435226,11.552326768710195,11.147807784435226,11.514697074890137,6289000,0.0,0.0
2019-06-18 00:00:00-04:00,11.524102841453683,12.248475450697354,11.524102841453683,12.126178741455078,7611700,0.0,0.0
2019-06-19 00:00:00-04:00,12.135586365902771,12.652995281662598,12.135586365902771,12.577735900878906,6237200,0.0,0.0
2019-06-20 00:00:00-04:00,12.718848617155375,12.803514752354335,12.587144244908156,12.756478309631348,4299500,0.0,0.0
2019-06-21 00:00:00-04:00,12.747068656421634,12.878772110782174,12.577734618343802,12.728253364562988,7949600,0.0,0.0
2019-06-24 00:00:00-04:00,12.700032834463327,12.737662525493752,12.511884379311205,12.530698776245117,2619000,0.0,0.0
2019-06-25 00:00:00-04:00,12.521291594201754,12.577735680217987,12.455438964299386,12.46484661102295,2130000,0.0,0.0
2019-06-26 00:00:00-04:00,12.48366169312641,12.605957509812018,12.455438753433524,12.511883735656738,3143100,0.0,0.0
2019-06-27 00:00:00-04:00,12.530698700067521,12.700032757256304,12.530698700067521,12.634181022644043,2598700,0.0,0.0
2019-06-28 00:00:00-04:00,12.652996450541117,12.775293179902986,12.568329415047312,12.69062614440918,6401700,0.0,0.0
2019-07-01 00:00:00-04:00,12.916403259408273,12.972848244211,12.624773379888202,12.794107437133789,3831000,0.0,0.0
2019-07-02 00:00:00-04:00,12.784699611902592,12.869366639345007,12.615365557017762,12.709440231323242,2082200,0.0,0.0
2019-07-03 00:00:00-04:00,12.765886103563995,12.765886103563995,12.61536732135432,12.652997016906738,1677100,0.0,0.0
2019-07-05 00:00:00-04:00,12.605959071149444,12.756478743333423,12.568329377394116,12.66240406036377,1215400,0.0,0.0
2019-07-08 00:00:00-04:00,12.587141800772265,12.681215565113897,12.474252745264831,12.502474784851074,1297900,0.0,0.0
2019-07-09 00:00:00-04:00,12.436624357467492,12.57773546728169,12.427216710903197,12.511883735656738,2472300,0.0,0.0
2019-07-10 00:00:00-04:00,12.57773546728169,12.59655076041028,12.46484639999782,12.511883735656738,1968800,0.0,0.0
2019-07-11 00:00:00-04:00,12.54010691071711,12.568328955796245,12.408402538410082,12.436625480651855,3165600,0.0,0.0
